business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y,gps,original_gps,corrected,correction_method
1334,AU VIEUX DULUTH EXPRESS,1  11453 Place Ville-Marie ,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20160519,45.501453,-73.57009,299322.56,5040172.5,,,False,
7510,MARCHE AL RAJI,2544   Rue Centre ,Montréal,"Québec, Canada",Boucherie-épicerie,Fermé changement d'exploitant,20120504,45.478813,-73.568786,299422.34,5037656.41,"44.9807806,-75.7978856","44.9807806,-75.7978856",False,
14512,LE PETIT OPUS CAFE BAR,1050   Rue Sherbrooke Ouest,Montréal,"Québec, Canada",Restaurant,Ouvert,19991004,45.502064,-73.576331,298834.95,5040240.84,"45.5019277,-73.5759539","45.5019277,-73.5759539",False,
2629,AMIENS DEPANNEUR,4427   Rue Amiens ,Montréal-Nord,"Québec, Canada",Épicerie,Fermé changement d'exploitant,20100316,45.591167,-73.631709,294523.57,5050148.58,"45.591302,-73.6318621","45.591302,-73.6318621",False,
13557,LES BOUCHERIES DU MARCHE,4445  C-11 Rue Ontario Est,Montréal,"Québec, Canada",Boucherie-épicerie,Ouvert,19981001,45.55415,-73.538739,301775.41,5046027.16,"45.5505228,-73.5410819","45.5505228,-73.5410819",False,
7861,LA VILLA DEL TEQUILA,4427   Rue Wellington ,Verdun,"Québec, Canada",Restaurant,Fermé,20080213,45.459726,-73.567287,299537.79,5035535.19,"45.4597579,-73.5675592","45.4597579,-73.5675592",False,
7850,SHISH POULET,8195   Boulevard Newman ,LaSalle,"Québec, Canada",Restaurant service rapide,Fermé changement d'exploitant,20090825,45.433785,-73.628439,294750.69,5032658.26,"45.4338963,-73.6289545","45.4338963,-73.6289545",False,
7833,BISTRO CHEZ ROGER,2316   Rue Beaubien Est,Montréal,"Québec, Canada",Restaurant,Ouvert,20040713,45.547182,-73.593124,297528.44,5045256.22,"45.547082,-73.5929718","45.547082,-73.5929718",False,
2621,RESTAURANT VIEUX ST-DENIS,8049   Rue Saint-Denis ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20130403,45.542357,-73.628337,294777.96,5044723.88,"45.5425539,-73.628332","45.5425539,-73.628332",False,
1710,DEPANNEUR TROIS ETOILES,6512   Boulevard Léger ,Montréal-Nord,"Québec, Canada",Épicerie avec préparation,Fermé changement d'exploitant,20120208,45.623623,-73.621399,295333.44,5053754.23,"45.623461,-73.6211598","45.623461,-73.6211598",False,
14294,9142-9563 QUEBEC INC. (NOUVEAU MAISON KAM),11779   Boulevard Pierrefonds ,Pierrefonds,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20140729,45.505775,-73.822143,279627.03,5040700.89,"45.5069321,-73.8230371","45.5069321,-73.8230371",False,
14295,MARCHE LE-PRO,10839   Boulevard Pie-IX ,Montréal-Nord,"Québec, Canada",Épicerie avec préparation,Fermé changement d'exploitant,20100219,45.59075,-73.63705,294106.69,5050103.01,"45.5909035,-73.6367784","45.5909035,-73.6367784",False,
14296,DOMINO'S PIZZA,475  112 Avenue Dumont ,Dorval,"Québec, Canada",Restaurant mets pour emporter,Ouvert,19990809,45.448173,-73.751968,285090.61,5034280.03,"43.4201413,6.7706167","43.4201413,6.7706167",False,
14297,KABAB,741  39 Avenue Viger Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20120312,45.50054,-73.564248,299779.04,5040070.73,"45.5003401,-73.5644655","45.5003401,-73.5644655",False,
14298,ROMIES,465   Rue McGill ,Montréal,"Québec, Canada",Restaurant,Ouvert,20250219,45.500801,-73.558968,300191.69,5040099.31,"45.5008801,-73.5586763","45.5008801,-73.5586763",False,
1714,PATISSERIE SAN PAOLO,7093   Rue Jarry Est,Anjou,"Québec, Canada",Boulangerie,Fermé changement d'exploitant,20090319,,,,,"45.6015252,-73.5764688","45.6015252,-73.5764688",False,
14300,RESTAURANT SIAM THAI,1083   Côte Beaver Hall ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20090929,45.502607,-73.56536,299692.37,5040300.46,"45.5027548,-73.5650792","45.5027548,-73.5650792",False,
406,MARCHE VICTORIA JARRY,624   Rue Jarry Ouest,Montréal,"Québec, Canada",Épicerie avec préparation,Fermé,20111103,45.531135,-73.635824,294191.18,5043477.69,"45.5310753,-73.6355432","45.5310753,-73.6355432",False,
14302,SERVICES AUX JEUNES,1448  5 Rue Beaudry ,Montréal,"Québec, Canada",Centre d'accueil,Fermé,20191126,45.519139,-73.556559,300381.41,5042137.19,"45.4290617,-75.656259","45.4290617,-75.656259",False,
14303,RESTAURANT MIKES ST-ANDRE,902   Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20110614,45.516458,-73.558011,300267.72,5041839.3,"45.516421,-73.5576694","45.516421,-73.5576694",False,
14309,CHEZ CORA DEJEUNER,1017   Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20180723,45.517351,-73.557192,300331.79,5041938.49,"45.5173145,-73.5575028","45.5173145,-73.5575028",False,
14311,BAR JO,6656   Rue Beaubien Est,Montréal,"Québec, Canada",Brasserie,Ouvert,19990816,45.589042,-73.560071,300112.87,5049905.8,"45.5888416,-73.5597373","45.5888416,-73.5597373",False,
14312,SUPER ROCK CAFE,1649   Rue Saint-Denis ,Montréal,"Québec, Canada",Autres,Fermé changement d'exploitant,20100712,45.515107,-73.56349,299839.6,5041689.45,"45.5152388,-73.5633236","45.5152388,-73.5633236",False,
13275,OLIVIERI BISTRO,5219   Chemin Côte-des-Neiges ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20161116,45.495825,-73.621128,295333.08,5039551.83,"45.4958078,-73.6207096","45.4958078,-73.6207096",False,
13286,NOUVEAU MARCHE MEGHNA INC.,1605   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Boucherie-épicerie,Ouvert,20250408,45.510915,-73.566039,299640.06,5041223.78,"45.5111111,-73.5659298","45.5111111,-73.5659298",False,
15835,PIZZA RIA PORKY'S,741  C-36 Avenue Viger Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20100308,45.50054,-73.564248,299779.04,5040070.73,,,False,
66759,ERIC MACHABEE,333   Boulevard Lebeau ,St-Laurent,"Québec, Canada",Distributeur en gros de produits laitiers,Ouvert,20080731,45.525902,-73.658712,292402.31,5042899.43,"45.5265292,-73.658512","45.5265292,-73.658512",False,
66758,PIERRE DESLAURIERS,333   Boulevard Lebeau ,St-Laurent,"Québec, Canada",Distributeur en gros de produits laitiers,Fermé,20150820,45.525902,-73.658712,292402.31,5042899.43,"45.5265292,-73.658512","45.5265292,-73.658512",False,
15838,RESTAURANT DELICE D'ASIE,741  C#38 Avenue Viger Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20080326,45.50054,-73.564248,299779.04,5040070.73,,,False,
15839,RESTAURANT CULTURES,1001  C-27 Boulevard Robert-Bourassa ,Montréal,"Québec, Canada",Restaurant service rapide,Ouvert,20100615,45.500654,-73.564784,299737.14,5040083.37,"45.4999368,-73.5640297","45.4999368,-73.5640297",False,
15840,CAFE SUPREME,741  7 Avenue Viger Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20111202,45.50054,-73.564248,299779.04,5040070.73,"45.5031473,-73.5622255","45.5031473,-73.5622255",False,
66757,REGIS RIOUX,333   Boulevard Lebeau ,St-Laurent,"Québec, Canada",Distributeur en gros de produits laitiers,Ouvert,20080731,45.525902,-73.658712,292402.31,5042899.43,"45.5265292,-73.658512","45.5265292,-73.658512",False,
15844,RESTAURANT TREAT'S,741   Avenue Viger Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20110715,45.50054,-73.564248,299779.04,5040070.73,"45.5007244,-73.5644067","45.5007244,-73.5644067",False,
15847,LA PETITE CLOCHE 1,1001  C-17 Boulevard Robert-Bourassa ,Montréal,"Québec, Canada",Épicerie avec préparation,Fermé,20210225,45.500654,-73.564784,299737.14,5040083.37,"45.4999368,-73.5640297","45.4999368,-73.5640297",False,
1375,VILLA ROUGE,1453   Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20130419,45.520563,-73.554234,300563.12,5042295.32,"45.5207243,-73.5543033","45.5207243,-73.5543033",False,
16307,COUCHE TARD #250,2375   Rue Notre-Dame Ouest,Montréal,"Québec, Canada",Épicerie avec préparation,Ouvert,19930112,45.48345,-73.574356,298987.37,5038172.1,"45.4836649,-73.5742859","45.4836649,-73.5742859",False,
11721,PATISSERIE BOULANGERIE MILLE FEUILLES,5106   Rue Charleroi ,Montréal-Nord,"Québec, Canada",Pâtisserie/Boulangerie,Fermé changement d'exploitant,20110708,45.599616,-73.625789,294986.88,5051086.79,,,False,
16309,TIKKA POULETS,1616  3180 Rue Sainte-Catherine Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20170728,45.494166,-73.578856,298636.73,5039363.4,"45.4893141,-73.5845122","45.4893141,-73.5845122",False,
14164,COMPTOIR ALIMENTAIRE VILLERAY,807   Rue Villeray ,Montréal,"Québec, Canada",Restaurant mets pour emporter,Fermé,20190410,45.544604,-73.620635,295379.83,5044972.6,"45.5448884,-73.6209883","45.5448884,-73.6209883",False,
14165,CALIFORNIA SUSHI,7275  186 Rue Sherbrooke Est,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20070629,45.590095,-73.538929,301762.55,5050021.79,"45.6696139,-73.5048377","45.6696139,-73.5048377",False,
14166,CHEZ LA MERE RESTAURANT,5054   Rue Castille ,Montréal-Nord,"Québec, Canada",Restaurant mets pour emporter,Fermé changement d'exploitant,20160516,45.597427,-73.624934,295053.2,5050843.42,"45.5972096,-73.6249397","45.5972096,-73.6249397",False,
14167,TRAITEUR BIS (LES BUFFETS INSÈRE JEUNES),5188   Rue Beaubien Est,Montréal,"Québec, Canada",Traiteur,Ouvert,19990615,45.573427,-73.570266,299315.86,5048171.11,"45.5733318,-73.5700228","45.5733318,-73.5700228",False,
1786,SUBWAY DE MONTREAL #2,9356   Boulevard Lacordaire ,St-Léonard,"Québec, Canada",Restaurant service rapide,Fermé changement d'exploitant,20240528,45.598115,-73.611208,296124.16,5050918.36,"45.5978893,-73.6113954","45.5978893,-73.6113954",False,
14169,LA CASA DE FAJITAS,153   Rue Saint-Amable ,Montréal,"Québec, Canada",Restaurant,Fermé,20080603,45.507139,-73.553197,300643.17,5040803.36,"45.5073936,-73.5531227","45.5073936,-73.5531227",False,
14170,LES PATES RICARDO'S,4071   Boulevard Saint-Jean ,Dollard-des-Ormeaux,"Québec, Canada",Restaurant,Fermé,20230511,45.477231,-73.838823,278310.22,5037534.19,"46.3418305,-72.6218464","46.3418305,-72.6218464",False,
14171,PIZZERIA BELLEVUE,39   Rue Sainte-Anne ,Ste-Anne-de-Bellevue,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20100818,45.402761,-73.948008,269727.83,5029300.16,"48.8664423,2.3355536","48.8664423,2.3355536",False,
1788,DISTRIBUTION S.L. ENR.,1100  700 Boulevard René-Lévesque Ouest,Montréal,"Québec, Canada",Distributrice automatique,Fermé,20100316,45.498592,-73.57035,299301.96,5039854.63,"45.5014873,-73.5673766","45.5014873,-73.5673766",False,
14176,THE VAULT,5000  C Boulevard Saint-Charles ,Pierrefonds,"Québec, Canada",Restaurant,Fermé,20080414,45.470854,-73.877192,275307.13,5036838.88,"45.4698983,-73.8764659","45.4698983,-73.8764659",False,
1799,SUB N'CUP,886   Boulevard Décarie ,St-Laurent,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20090917,45.51251,-73.680088,290729.17,5041414.64,"45.512339,-73.6801721","45.512339,-73.6801721",False,
14180,HOLLYWOOD STARS VIDEO,12011   Avenue Rita-Levi-Montalcini ,Montréal,"Québec, Canada",Magasin à rayons,Fermé,20090916,45.638921,-73.580584,298517.83,5055450.38,"45.6391596,-73.5802588","45.6391596,-73.5802588",False,
1325,CUISINE SERVICE TRAITEUR LA RONDE,601  601 Chemin La Ronde ,Montréal,"Québec, Canada",Traiteur,Fermé,20101129,45.521532,-73.535253,302045.99,5042402.09,"45.5215496,-73.5359751","45.5215496,-73.5359751",False,
14514,POPOTE ROULANTE #137,3760  302 Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Restaurant,Fermé,20150630,45.544667,-73.537795,301848.64,5044973.29,"45.5202567,-73.5545203","45.5202567,-73.5545203",False,
11522,RESTAURANT JE CREVE DE FAIM,3715   Rue Wellington ,Verdun,"Québec, Canada",Restaurant,Fermé,20090313,45.466603,-73.566663,299587.17,5036299.46,"45.4667014,-73.5667953","45.4667014,-73.5667953",False,
7167,DEPANNEUR ST-ROCH,1032   Rue Saint-Roch ,Montréal,"Québec, Canada",Épicerie,Fermé changement d'exploitant,20090925,45.525964,-73.631544,294524.56,5042902.52,"46.3426132,-72.552605","46.3426132,-72.552605",False,
14517,VERDE LIMON,3801   Rue Masson ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20120227,45.556027,-73.570413,299302.66,5046237.43,"45.5561312,-73.5705804","45.5561312,-73.5705804",False,
1333,CENTRE MACKAY,3500   Boulevard Décarie ,Montréal,"Québec, Canada",Distributrice automatique,Fermé,20100308,45.475102,-73.610588,296153.7,5037247.67,"45.4750064,-73.6115862","45.4750064,-73.6115862",False,
7509,THE AU LOGIS,1175 A  Rue Crescent ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20100615,45.496146,-73.573581,299049.2,5039582.95,"45.4963657,-73.5737384","45.4963657,-73.5737384",False,
14523,DEPANNEUR N.W.F.P.,6299   Rue Jarry Est,St-Léonard,"Québec, Canada",Épicerie,Fermé changement d'exploitant,20111110,45.5933,-73.583118,298315.03,5050380.61,"45.5932895,-73.583434","45.5932895,-73.583434",False,
1323,PHARMACIE JEAN-COUTU #204,3745   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Magasin à rayons,Fermé changement d'exploitant,20140620,45.515088,-73.575182,298926.08,5041688.16,"45.5153714,-73.5751241","45.5153714,-73.5751241",False,
